Image Number,Citaton,Common Name,Scientific Name, Host Common Name, Host Scientific Name, Descriptor
0008289,"Paul Wray, Iowa State University, Bugwood.org",green ash,Fraxinus pennsylvanica,,,Foliage
0008290,"Paul Wray, Iowa State University, Bugwood.org",white ash,Fraxinus americana,,,Foliage
0008332,"Paul Wray, Iowa State University, Bugwood.org",slippery elm,Ulmus rubra,,,Foliage
0008347,"Paul Wray, Iowa State University, Bugwood.org",bitternut hickory,Carya cordiformis,,,Foliage
0008353,"Paul Wray, Iowa State University, Bugwood.org",shagbark hickory,Carya ovata,,,Foliage
0008360,"Paul Wray, Iowa State University, Bugwood.org",hophornbeam,Ostrya virginiana,,,Foliage
0008383,"Paul Wray, Iowa State University, Bugwood.org",red mulberry,Morus rubra,,,Foliage
0008397,"Paul Wray, Iowa State University, Bugwood.org",northern red oak,Quercus rubra,,,Foliage
0008404,"Paul Wray, Iowa State University, Bugwood.org",white oak,Quercus alba,,,Foliage
0008414,"Paul Wray, Iowa State University, Bugwood.org",eastern white pine,Pinus strobus,,,Foliage
0008427,"Paul Wray, Iowa State University, Bugwood.org",eastern redbud,Cercis canadensis,,,Foliage
0008440,"Paul Wray, Iowa State University, Bugwood.org",American sycamore,Platanus occidentalis,,,Foliage
0008443,"Paul Wray, Iowa State University, Bugwood.org",yellow-poplar,Liriodendron tulipifera,,,Foliage
0008450,"Paul Wray, Iowa State University, Bugwood.org",black willow,Salix nigra,,,Foliage
0008465,"Paul Wray, Iowa State University, Bugwood.org",white ash,Fraxinus americana,,,Feature(s)
0008490,"Paul Wray, Iowa State University, Bugwood.org",slippery elm,Ulmus rubra,,,Feature(s)
0008491,"Paul Wray, Iowa State University, Bugwood.org",slippery elm,Ulmus rubra,,,Feature(s)
0008506,"Paul Wray, Iowa State University, Bugwood.org",shellbark hickory,Carya laciniosa,,,Twig(s)/Shoot(s)
0008549,"Paul Wray, Iowa State University, Bugwood.org",American sycamore,Platanus occidentalis,,,Twig(s)/Shoot(s)
0008552,"Paul Wray, Iowa State University, Bugwood.org",black walnut,Juglans nigra,,,Twig(s)/Shoot(s)
0008554,"Paul Wray, Iowa State University, Bugwood.org",butternut,Juglans cinerea,,,Twig(s)/Shoot(s)
1118027,"Brian Lockhart, USDA Forest Service, Bugwood.org",water tupelo,Nyssa aquatica,,,Stand
1119045,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",Carolina silverbell,Halesia carolina,,,Bark
1119379,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",slash pine,Pinus elliottii,,,Cones
1119400,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",spruce pine,Pinus glabra,,,Foliage
1119401,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",spruce pine,Pinus glabra,,,Bark
1119402,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",spruce pine,Pinus glabra,,,Foliage
1119403,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",spruce pine,Pinus glabra,,,Foliage
1119413,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",turkey oak,Quercus laevis,,,Flower(s)
1119446,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",water oak,Quercus nigra,,,Flower(s)
1219119,"Bill Cook, Michigan State University, Bugwood.org",honeylocust,Gleditsia triacanthos,,,Fruit(s)
1219199,"Bill Cook, Michigan State University, Bugwood.org",northern red oak,Quercus rubra,,,Flower(s)
1261023,"Gil Wojciech, Polish Forest Research Institute, Bugwood.org",black cherry,Prunus serotina,,,Fruit(s)
1330029,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",cucumber-tree,Magnolia acuminata,,,Bark
1330030,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",cucumber-tree,Magnolia acuminata,,,Foliage
1330031,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",cucumber-tree,Magnolia acuminata,,,Foliage
1330060,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",eastern redbud,Cercis canadensis,,,Foliage
1330063,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",river birch,Betula nigra,,,Foliage
1330067,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",sassafras,Sassafras albidum,,,Fruit(s)
1330071,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",sassafras,Sassafras albidum,,,Foliage
1330076,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",sourwood,Oxydendrum arboreum,,,Foliage
1330082,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",umbrella magnolia,Magnolia tripetala,,,Fruit(s)
1330083,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",umbrella magnolia,Magnolia tripetala,,,Foliage
1334011,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",eastern cottonwood,Populus deltoides,,,Bark
1334013,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",eastern cottonwood,Populus deltoides,,,Twig(s)/Shoot(s)
1334088,"Wendy VanDyk Evans, Bugwood.org",sourwood,Oxydendrum arboreum,,,Flower(s)
1334123,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",sugarberry,Celtis laevigata,,,Foliage
1342006,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",American beech,Fagus grandifolia,,,Twig(s)/Shoot(s)
1342067,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",mountain magnolia,Magnolia fraseri,,,Twig(s)/Shoot(s)
1342068,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",mountain magnolia,Magnolia fraseri,,,Twig(s)/Shoot(s)
1342073,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",mountain magnolia,Magnolia fraseri,,,Foliage
1342078,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",mountain magnolia,Magnolia fraseri,,,Bark
1342082,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",Table Mountain pine,Pinus pungens,,,Cones
1342083,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",Table Mountain pine,Pinus pungens,,,Foliage
1342084,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",Table Mountain pine,Pinus pungens,,,Foliage
1342085,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",Table Mountain pine,Pinus pungens,,,Feature(s)
1342089,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",American chestnut,Castanea dentata,,,Foliage
1346011,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",American hornbeam,Carpinus caroliniana,,,Fruit(s)
1346016,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",flowering dogwood,Cornus florida,,,Twig(s)/Shoot(s)
1346085,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",eastern redbud,Cercis canadensis,,,Fruit(s)
1346095,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",swamp chestnut oak,Quercus michauxii,,,Twig(s)/Shoot(s)
1346098,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",water tupelo,Nyssa aquatica,,,Twig(s)/Shoot(s)
1346100,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",water tupelo,Nyssa aquatica,,,Bark
1346104,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",winged elm,Ulmus alata,,,Twig(s)/Shoot(s)
1362033,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",turkey oak,Quercus laevis,,,Twig(s)/Shoot(s)
1362039,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",water oak,Quercus nigra,,,Twig(s)/Shoot(s)
1373014,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",slash pine,Pinus elliottii,,,Cones
1373037,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",spruce pine,Pinus glabra,,,Foliage
1373052,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",American holly,Ilex opaca,,,Foliage
1373064,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",southern magnolia,Magnolia grandiflora,,,Bark
1378023,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",bluejack oak,Quercus incana,,,Bark
1378024,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",bluejack oak,Quercus incana,,,Foliage
1378026,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",bluejack oak,Quercus incana,,,Plant(s)
1378027,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",bluejack oak,Quercus incana,,,Bark
1378033,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",bluejack oak,Quercus incana,,,Flower(s)
1378139,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",turkey oak,Quercus laevis,,,Bark
1378144,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",turkey oak,Quercus laevis,,,Foliage
1378147,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",water oak,Quercus nigra,,,Foliage
1378150,"Wendy VanDyk Evans, Bugwood.org",water oak,Quercus nigra,,,Tree(s)
1378156,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",water tupelo,Nyssa aquatica,,,Bark
1378159,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",black cherry,Prunus serotina,,,Foliage
1380093,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",eastern cottonwood,Populus deltoides,,,Tree(s)
1380098,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",eastern white pine,Pinus strobus,,,Bark
1380167,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",dwarf hackberry,Celtis tenuifolia,,,Foliage
1380168,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",dwarf hackberry,Celtis tenuifolia,,,Foliage
1380220,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",mockernut hickory,Carya tomentosa,,,Foliage
1380222,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",mockernut hickory,Carya tomentosa,,,Flower(s)
1380322,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",laurel oak,Quercus laurifolia,,,Foliage
1380324,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",laurel oak,Quercus laurifolia,,,Foliage
1380325,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",laurel oak,Quercus laurifolia,,,Foliage
1380326,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",laurel oak,Quercus laurifolia,,,Foliage
1380330,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",red mulberry,Morus rubra,,,Fruit(s)
1380361,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",shortleaf pine,Pinus echinata,,,Tree(s)
1380362,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",shortleaf pine,Pinus echinata,,,Foliage
1380366,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",shortleaf pine,Pinus echinata,,,Foliage
1380371,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",slash pine,Pinus elliottii,,,Bark
1380382,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",southern catalpa,Catalpa bignonioides,,,Twig(s)/Shoot(s)
1380388,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",southern red oak,Quercus falcata,,,Foliage
1380390,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",southern red oak,Quercus falcata,,,Twig(s)/Shoot(s)
1380424,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",Virginia pine,Pinus virginiana,,,Foliage
1380475,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",chestnut oak,Quercus prinus,,,Tree(s)
1392098,"Charles T. Bryson, USDA Agricultural Research Service, Bugwood.org",cucumber-tree,Magnolia acuminata,,,Foliage
1397017,"Joseph O&#39;Brien, USDA Forest Service, Bugwood.org",American elm,Ulmus americana,,,Tree(s)
1398270,"Steven Katovich, USDA Forest Service, Bugwood.org",river birch,Betula nigra,,,Bark
1437098,"Paul Bolstad, University of Minnesota, Bugwood.org",loblolly pine,Pinus taeda,,,Bark
1451119,"Richard Carter, Valdosta State University, Bugwood.org",dahoon,Ilex cassine,,,Twig(s)/Shoot(s)
1451153,"Richard Carter, Valdosta State University, Bugwood.org",dahoon,Ilex cassine,,,Foliage
1479022,"Steven Katovich, USDA Forest Service, Bugwood.org",butternut,Juglans cinerea,,,Flower(s)
1480060,"Richard Webb, Self-employed horticulurist, Bugwood.org",cherry birch,Betula lenta,,,Foliage
1480187,"Richard Webb, Self-employed horticulurist, Bugwood.org",white ash,Fraxinus americana,,,Tree(s)
1480273,"Richard Webb, Self-employed horticulurist, Bugwood.org",cucumber-tree,Magnolia acuminata,,,Tree(s)
1480309,"Richard Webb, Self-employed horticulurist, Bugwood.org",blackgum,Nyssa sylvatica,,,Tree(s)
1480602,"Richard Webb, Self-employed horticulurist, Bugwood.org",sweetbay,Magnolia virginiana,,,Tree(s)
1480604,"Richard Webb, Self-employed horticulurist, Bugwood.org",sourwood,Oxydendrum arboreum,,,Tree(s)
1580010,"John Ruter, University of Georgia, Bugwood.org",serviceberry,Amelanchier arborea,,,Tree(s)
1580029,"John Ruter, University of Georgia, Bugwood.org",southern sugar maple,Acer barbatum,,,Tree(s)
1580071,"John Ruter, University of Georgia, Bugwood.org",painted buckeye,Aesculus sylvatica,,,Foliage
1580102,"John Ruter, University of Georgia, Bugwood.org",mockernut hickory,Carya tomentosa,,,Tree(s)
1580106,"John Ruter, University of Georgia, Bugwood.org",American hornbeam,Carpinus caroliniana,,,Foliage
1580270,"John Ruter, University of Georgia, Bugwood.org",southern sugar maple,Acer barbatum,,,Foliage
1580284,"John Ruter, University of Georgia, Bugwood.org",southern sugar maple,Acer barbatum,,,Tree(s)
1580287,"John Ruter, University of Georgia, Bugwood.org",southern sugar maple,Acer barbatum,,,Foliage
1580288,"John Ruter, University of Georgia, Bugwood.org",southern sugar maple,Acer barbatum,,,Tree(s)
1580374,"John Ruter, University of Georgia, Bugwood.org",chalk maple,Acer leucoderme,,,Foliage
1580376,"John Ruter, University of Georgia, Bugwood.org",chalk maple,Acer leucoderme,,,Foliage
1580380,"John Ruter, University of Georgia, Bugwood.org",chalk maple,Acer leucoderme,,,Tree(s)
1580384,"John Ruter, University of Georgia, Bugwood.org",chalk maple,Acer leucoderme,,,Tree(s)
1580386,"John Ruter, University of Georgia, Bugwood.org",chalk maple,Acer leucoderme,,,Flower(s)
1580742,"John Ruter, University of Georgia, Bugwood.org",red maple,Acer rubrum,,,Cultivar
1580969,"John Ruter, University of Georgia, Bugwood.org",painted buckeye,Aesculus sylvatica,,,Flower(s)
1581120,"John Ruter, University of Georgia, Bugwood.org",serviceberry,Amelanchier arborea,,,Tree(s)
1581565,"John Ruter, University of Georgia, Bugwood.org",cherry birch,Betula lenta,,,Tree(s)
1581568,"John Ruter, University of Georgia, Bugwood.org",cherry birch,Betula lenta,,,Foliage
1582089,"John Ruter, University of Georgia, Bugwood.org",American hornbeam,Carpinus caroliniana,,,Tree(s)
1582122,"John Ruter, University of Georgia, Bugwood.org",red hickory,Carya ovalis,,,Bark
1582123,"John Ruter, University of Georgia, Bugwood.org",red hickory,Carya ovalis,,,Bark
1582127,"John Ruter, University of Georgia, Bugwood.org",mockernut hickory,Carya tomentosa,,,Tree(s)
1582135,"John Ruter, University of Georgia, Bugwood.org",mockernut hickory,Carya tomentosa,,,Twig(s)/Shoot(s)
1582185,"John Ruter, University of Georgia, Bugwood.org",chinkapin,Castanea pumila,,,Flower(s)
1582193,"John Ruter, University of Georgia, Bugwood.org",chinkapin,Castanea pumila,,,Fruit(s)
1582278,"John Ruter, University of Georgia, Bugwood.org",sugarberry,Celtis laevigata,,,Tree(s)
1582286,"John Ruter, University of Georgia, Bugwood.org",dwarf hackberry,Celtis tenuifolia,,,Foliage
1582287,"John Ruter, University of Georgia, Bugwood.org",dwarf hackberry,Celtis tenuifolia,,,Foliage
1582366,"John Ruter, University of Georgia, Bugwood.org",eastern redbud,Cercis canadensis,,,Tree(s)
1582567,"John Ruter, University of Georgia, Bugwood.org",Atlantic white cedar,Chamaecyparis thyoides,,,Tree(s)
1582573,"John Ruter, University of Georgia, Bugwood.org",Atlantic white cedar,Chamaecyparis thyoides,,,Tree(s)
2117056,"David J. Moorhead, University of Georgia, Bugwood.org",flowering dogwood,Cornus florida,,,Bark
2118075,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",black oak,Quercus velutina,,,Foliage
2118077,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",black oak,Quercus velutina,,,Twig(s)/Shoot(s)
2119009,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",blackjack oak,Quercus marilandica,,,Tree(s)
2119064,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",Carolina silverbell,Halesia carolina,,,Bark
2119090,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",American hornbeam,Carpinus caroliniana,,,Fruit(s)
2119094,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",American hornbeam,Carpinus caroliniana,,,Fruit(s)
2120006,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",chestnut oak,Quercus prinus,,,Foliage
2120008,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",chestnut oak,Quercus prinus,,,Foliage
2120021,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",chinkapin,Castanea pumila,,,Fruit(s)
2120034,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",chinkapin,Castanea pumila,,,Plant(s)
2120039,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",chinkapin,Castanea pumila,,,Fruit(s)
2120082,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",eastern cottonwood,Populus deltoides,,,Feature(s)
2122093,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",swamp tupelo,Nyssa biflora,,,Foliage
2125026,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",eastern hemlock,Tsuga canadensis,,,Cones
2125053,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",mountain magnolia,Magnolia fraseri,,,Foliage
2125076,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",dwarf hackberry,Celtis tenuifolia,,,Plant(s)
2125078,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",Georgia oak,Quercus georgiana,,,Foliage
2127013,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",yaupon,Ilex vomitoria,,,Bark
2127015,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",yaupon,Ilex vomitoria,,,Fruit(s)
2127019,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",yaupon,Ilex vomitoria,,,Foliage
2128055,"Wendy VanDyk Evans, Bugwood.org",live oak,Quercus virginiana,,,Fruit(s)
2129090,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",water tupelo,Nyssa aquatica,,,Foliage
2129094,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",swamp tupelo,Nyssa biflora,,,Foliage
2129096,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",swamp tupelo,Nyssa biflora,,,Bark
2130010,"Wendy VanDyk Evans, Bugwood.org",painted buckeye,Aesculus sylvatica,,,Fruit(s)
2130012,"Wendy VanDyk Evans, Bugwood.org",painted buckeye,Aesculus sylvatica,,,Plant(s)
2130047,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",pignut hickory,Carya glabra,,,Foliage
2130048,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",pignut hickory,Carya glabra,,,Twig(s)/Shoot(s)
2138081,"Barbara Tokarska-Guzik, University of Silesia, Bugwood.org",black cherry,Prunus serotina,,,Tree(s)
2138083,"Barbara Tokarska-Guzik, University of Silesia, Bugwood.org",black cherry,Prunus serotina,,,Sapling(s)
2146042,"Donnie Edwards, Bugwood.org",yellow-poplar,Liriodendron tulipifera,,,Flower(s)
2148058,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",post oak,Quercus stellata,,,Foliage
2150011,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",scarlet oak,Quercus coccinea,,,Tree(s)
2150072,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",serviceberry,Amelanchier arborea,,,Foliage
2150084,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",Shumard oak,Quercus shumardii,,,Foliage
2150086,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",Shumard oak,Quercus shumardii,,,Bark
2151019,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",sourwood,Oxydendrum arboreum,,,Foliage
2151023,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",southern red oak,Quercus falcata,,,Tree(s)
2151057,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",swamp chestnut oak,Quercus michauxii,,,Bark
2151069,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",cherry birch,Betula lenta,,,Bark
2151073,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",sweetbay,Magnolia virginiana,,,Foliage
2151078,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",sweetgum,Liquidambar styraciflua,,,Foliage
2152083,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",water tupelo,Nyssa aquatica,,,Foliage
2152085,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",white oak,Quercus alba,,,Foliage
4178021,"Erich G. Vallery, USDA Forest Service - SRS-4552, Bugwood.org",loblolly pine,Pinus taeda,,,Cones
4178024,"Erich G. Vallery, USDA Forest Service - SRS-4552, Bugwood.org",loblolly pine,Pinus taeda,,,Cones
5029029,"Joseph O&#39;Brien, USDA Forest Service, Bugwood.org",northern red oak,Quercus rubra,,,Foliage
5031023,"Joseph O&#39;Brien, USDA Forest Service, Bugwood.org",white oak,Quercus alba,,,Symptoms
5038083,"Joseph O&#39;Brien, USDA Forest Service, Bugwood.org",green ash,Fraxinus pennsylvanica,,,Tree(s)
5045002,"Joseph O&#39;Brien, USDA Forest Service, Bugwood.org",eastern redcedar,Juniperus virginiana,,,Fruit(s)
5048064,"Joseph O&#39;Brien, USDA Forest Service, Bugwood.org",American beech,Fagus grandifolia,,,Symptoms
5125068,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",live oak,Quercus virginiana,,,Bark
5126002,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",sugarberry,Celtis laevigata,,,Bark
5142082,"The Dow Gardens Archive, Dow Gardens, Bugwood.org",blackgum,Nyssa sylvatica,,,Foliage
5143014,"The Dow Gardens Archive, Dow Gardens, Bugwood.org",northern red oak,Quercus rubra,,,Foliage
5143026,"The Dow Gardens Archive, Dow Gardens, Bugwood.org",sassafras,Sassafras albidum,,,Tree(s)
5145097,"The Dow Gardens Archive, Dow Gardens, Bugwood.org",red maple,Acer rubrum,,,Cultivar
5191059,"Joseph LaForest, University of Georgia, Bugwood.org",winged elm,Ulmus alata,,,Foliage
5280007,"Tony Pernas, USDI National Park Service, Bugwood.org",live oak,Quercus virginiana,,,Tree(s)
5348020,"Richard Webb, Self-employed horticulurist, Bugwood.org",eastern hemlock,Tsuga canadensis,,,Tree(s)
5349031,"Richard Webb, Self-employed horticulurist, Bugwood.org",loblolly pine,Pinus taeda,,,Tree(s)
5349064,"Keith Kanoti, Maine Forest Service, Bugwood.org",white ash,Fraxinus americana,,,Seed(s)
5349076,"Keith Kanoti, Maine Forest Service, Bugwood.org",pitch pine,Pinus rigida,,,Foliage
5349077,"Keith Kanoti, Maine Forest Service, Bugwood.org",American chestnut,Castanea dentata,,,Flower(s)
5349079,"Keith Kanoti, Maine Forest Service, Bugwood.org",black oak,Quercus velutina,,,Bark
5349080,"Keith Kanoti, Maine Forest Service, Bugwood.org",pitch pine,Pinus rigida,,,Cones
5349088,"Keith Kanoti, Maine Forest Service, Bugwood.org",butternut,Juglans cinerea,,,Foliage
5350005,"Keith Kanoti, Maine Forest Service, Bugwood.org",eastern white pine,Pinus strobus,,,Cones
5350009,"Keith Kanoti, Maine Forest Service, Bugwood.org",chestnut oak,Quercus prinus,,,Seed(s)
5350043,"Keith Kanoti, Maine Forest Service, Bugwood.org",Atlantic white cedar,Chamaecyparis thyoides,,,Foliage
5350047,"Keith Kanoti, Maine Forest Service, Bugwood.org",blackgum,Nyssa sylvatica,,,Bark
5350049,"Keith Kanoti, Maine Forest Service, Bugwood.org",white ash,Fraxinus americana,,,Bark
5369230,"David J. Moorhead, University of Georgia, Bugwood.org",flowering dogwood,Cornus florida,,,Fruit(s)
5370322,"Rebekah D. Wallace, University of Georgia, Bugwood.org",sweetgum,Liquidambar styraciflua,,,Bark
5387997,"R. Scott Cameron, Advanced Forest Protection, Inc., Bugwood.org",sassafras,Sassafras albidum,,,Flower(s)
5389496,"Nancy Loewenstein, Auburn University, Bugwood.org",southern sugar maple,Acer barbatum,,,Foliage
5389499,"Nancy Loewenstein, Auburn University, Bugwood.org",chalk maple,Acer leucoderme,,,Foliage
5389590,"Nancy Loewenstein, Auburn University, Bugwood.org",turkey oak,Quercus laevis,,,Tree(s)
5389597,"Nancy Loewenstein, Auburn University, Bugwood.org",chestnut oak,Quercus prinus,,,Bark
5389878,"Tom DeGomez, University of Arizona, Bugwood.org",boxelder,Acer negundo,,,Tree(s)
5389908,"Tom DeGomez, University of Arizona, Bugwood.org",honeylocust,Gleditsia triacanthos,,,Foliage
5390007,"Tom DeGomez, University of Arizona, Bugwood.org",northern red oak,Quercus rubra,,,Fruit(s)
5390037,"Tom DeGomez, University of Arizona, Bugwood.org",American elm,Ulmus americana,,,Foliage
5395804,"Robert Vid&#233;ki, Doronicum Kft., Bugwood.org",baldcypress,Taxodium distichum,,,Tree(s)
5395830,"Robert Vid&#233;ki, Doronicum Kft., Bugwood.org",shagbark hickory,Carya ovata,,,Tree(s)
5395988,"Robert Vid&#233;ki, Doronicum Kft., Bugwood.org",honeylocust,Gleditsia triacanthos,,,Flower(s)
5396113,"Robert Vid&#233;ki, Doronicum Kft., Bugwood.org",black locust,Robinia pseudoacacia,,,Tree(s)
5396389,"Robert Vid&#233;ki, Doronicum Kft., Bugwood.org",black walnut,Juglans nigra,,,Tree(s)
5398080,"Robert Vid&#233;ki, Doronicum Kft., Bugwood.org",butternut,Juglans cinerea,,,Tree(s)
5399235,"Robert Vid&#233;ki, Doronicum Kft., Bugwood.org",common hawthorn,Crataegus monogyna,,,Plant(s)
5399336,"Robert Vid&#233;ki, Doronicum Kft., Bugwood.org",eastern white pine,Pinus strobus,,,Tree(s)
5399340,"Robert Vid&#233;ki, Doronicum Kft., Bugwood.org",boxelder,Acer negundo,,,Fruit(s)
5399353,"Robert Vid&#233;ki, Doronicum Kft., Bugwood.org",boxelder,Acer negundo,,,Fruit(s)
5399376,"Robert Vid&#233;ki, Doronicum Kft., Bugwood.org",green ash,Fraxinus pennsylvanica,,,Tree(s)
5399807,"Robert Vid&#233;ki, Doronicum Kft., Bugwood.org",black cherry,Prunus serotina,,,Foliage
5404708,"Karan A. Rawlins, University of Georgia, Bugwood.org",boxelder,Acer negundo,,,Flower(s)
5410519,"Lawrence Morris, University of Georgia, Bugwood.org",willow oak,Quercus phellos,,,Tree(s)
5411686,"Rebekah D. Wallace, University of Georgia, Bugwood.org",eastern redcedar,Juniperus virginiana,,,Foliage
5416132,"Forest and Kim Starr, Starr Environmental, Bugwood.org",sweetgum,Liquidambar styraciflua,,,Tree(s)
5423034,"Rebekah D. Wallace, University of Georgia, Bugwood.org",pignut hickory,Carya glabra,,,Feature(s)
